Open Time,Open,High,Low,Close,Volume,Close time,QAV,No. of trades,Taker buy base,Taker buy quote,Ignore
1659657600000,22622.41,22682.65,22586.95,22632.0,4571.73014,1659661199999,103517339.1668159,172453,2334.22865,52854893.7828183,0
1659661200000,22632.0,22920.61,22627.24,22893.44,7250.9132,1659664799999,165124138.1164792,218946,3827.23522,87154426.3038711,0
1659664800000,22893.44,23115.38,22858.59,23044.91,9837.1328,1659668399999,226109093.1286498,287071,4884.49354,112280110.7761647,0
1659668400000,23044.91,23200.0,23040.0,23175.32,7415.99555,1659671999999,171466314.7338318,219786,3948.58595,91290286.4014981,0
1659672000000,23173.9,23247.84,23093.94,23152.02,5732.52901,1659675599999,132818451.745219,201919,2902.14968,67246661.5310109,0
1659675600000,23152.02,23228.59,23065.82,23189.78,5425.93988,1659679199999,125450896.0785617,198962,2741.88751,63400789.7640975,0
1659679200000,23189.77,23432.51,23188.9,23282.02,7956.52743,1659682799999,185346803.84780648,255956,4219.60108,98308956.2702192,0
1659682800000,23282.02,23299.27,23157.49,23186.08,4984.31193,1659686399999,115656756.0495097,169772,2427.58444,56332550.6805112,0
1659686400000,23185.08,23254.92,23095.17,23151.46,5536.67841,1659689999999,128227269.4284996,187201,2810.10398,65086757.9572437,0
1659690000000,23151.46,23189.66,23120.48,23132.21,4048.88956,1659693599999,93733472.1064336,147528,2024.50947,46870358.8944739,0
1659693600000,23132.21,23253.39,23105.47,23196.04,5203.8064,1659697199999,120624557.7846699,174116,2670.36202,61901829.9800055,0
1659697200000,23195.46,23441.1,23151.04,23405.13,10607.82125,1659700799999,247191011.8652876,299777,5423.59104,126395673.735578,0
1659700800000,23403.67,23472.86,22921.25,23018.93,17134.38188,1659704399999,397336620.4369484,427849,8060.35513,186960879.97811648,0
1659704400000,23018.93,23101.0,22879.42,23054.81,10640.45176,1659707999999,244844303.5708734,306532,5320.6771,122442794.7850557,0
1659708000000,23053.25,23360.0,23022.5,23177.08,12296.49544,1659711599999,285634942.7259135,336307,6139.81007,142620983.5357888,0
1659711600000,23177.08,23204.64,22957.98,22988.25,8809.01549,1659715199999,203148109.21485633,261566,4181.39752,96433639.8988421,0
1659715200000,22988.26,23076.69,22900.0,23034.35,7440.73005,1659718799999,171097217.4566446,219072,3657.43104,84106739.50921,0
1659718800000,23034.35,23104.0,22800.0,22828.26,8366.91113,1659722399999,192162760.202445,222665,4137.98914,95057332.4945503,0
1659722400000,22828.26,22892.73,22754.13,22806.02,5493.94588,1659725999999,125447133.5173641,172401,2765.56548,63157923.8009348,0
1659726000000,22806.02,22957.51,22775.23,22932.83,5700.82654,1659729599999,130439013.5729548,180851,2975.04714,68074130.5077252,0
1659729600000,22931.23,23004.34,22839.27,22983.39,4370.87889,1659733199999,100223978.5436299,144500,2250.56057,51609551.6904211,0
1659733200000,22981.3,23223.53,22980.0,23106.58,5539.43793,1659736799999,128044370.0090797,171730,2910.33801,67274468.7589861,0
1659736800000,23106.58,23281.98,23106.58,23243.41,5280.89043,1659740399999,122487626.5902157,175132,2735.94697,63465499.0890458,0
1659740400000,23244.67,23329.0,23154.7,23312.42,5605.45651,1659743999999,130303771.4618194,188477,2891.10403,67212710.5558952,0
